2026-09-22 03:08:42 | INFO     | cocacola.Fixtures        | ==== TEST START | tests/ui/profile/test_profile_ui.py::TestProfileUi::test_view_profile[chromium] | layer=ui ====
2026-09-22 03:08:42 | INFO     | cocacola.Fixtures        | Generated test user autotest_user_20260922_030842_2beae8ce@example.com
2026-09-22 03:08:42 | INFO     | cocacola.SignupPage      | Navigating to http://127.0.0.1:8765/signup
2026-09-22 03:08:42 | INFO     | cocacola.CookieBanner    | Cookie banner displayed - accepting
2026-09-22 03:08:42 | INFO     | cocacola.SignupPage      | Entering first name: James
2026-09-22 03:08:42 | INFO     | cocacola.SignupPage      | Entering last name: Jones
2026-09-22 03:08:42 | INFO     | cocacola.SignupPage      | Entering email: autotest_user_20260922_030842_2beae8ce@example.com
2026-09-22 03:08:42 | INFO     | cocacola.SignupPage      | Entering password: *****
2026-09-22 03:08:42 | INFO     | cocacola.SignupPage      | Entering zip code: 65169
2026-09-22 03:08:42 | INFO     | cocacola.SignupPage      | Clicking Create account button
2026-09-22 03:08:42 | INFO     | cocacola.ProfilePage     | Screenshot saved: /home/runner/work/python_playwright_automation_practice/python_playwright_automation_practice/reports/2026-09-22/execution_03-08-27/ui/screenshots/profile_view__chromium__desktop__gw0__03-08-42-582523.png
2026-09-22 03:08:42 | INFO     | cocacola.Fixtures        | ==== TEST END   | test_view_profile[chromium] | PASSED ====
