2026-09-08 03:08:54 | INFO     | cocacola.Fixtures        | ==== TEST START | tests/ui/auth/test_signup_ui.py::TestSignupUi::test_signup_duplicate_email[webkit] | layer=ui ====
2026-09-08 03:08:54 | INFO     | cocacola.Fixtures        | Generated test user autotest_user_20260908_030854_51e7e28f@example.com
2026-09-08 03:08:54 | INFO     | cocacola.SignupPage      | Navigating to http://127.0.0.1:8765/signup
2026-09-08 03:08:55 | INFO     | cocacola.CookieBanner    | Cookie banner displayed - accepting
2026-09-08 03:08:55 | INFO     | cocacola.SignupPage      | Entering first name: Lynn
2026-09-08 03:08:55 | INFO     | cocacola.SignupPage      | Entering last name: Rios
2026-09-08 03:08:55 | INFO     | cocacola.SignupPage      | Entering email: autotest_user_20260908_030854_51e7e28f@example.com
2026-09-08 03:08:55 | INFO     | cocacola.SignupPage      | Entering password: *****
2026-09-08 03:08:55 | INFO     | cocacola.SignupPage      | Entering zip code: 63117
2026-09-08 03:08:55 | INFO     | cocacola.SignupPage      | Clicking Create account button
2026-09-08 03:08:55 | INFO     | cocacola.ProfilePage     | Clicking Sign out link
2026-09-08 03:08:55 | INFO     | cocacola.SignupPage      | Navigating to http://127.0.0.1:8765/signup
2026-09-08 03:08:58 | INFO     | cocacola.CookieBanner    | Cookie banner not displayed - nothing to do
2026-09-08 03:08:58 | INFO     | cocacola.SignupPage      | Entering first name: Lynn
2026-09-08 03:08:58 | INFO     | cocacola.SignupPage      | Entering last name: Rios
2026-09-08 03:08:58 | INFO     | cocacola.SignupPage      | Entering email: autotest_user_20260908_030854_51e7e28f@example.com
2026-09-08 03:08:58 | INFO     | cocacola.SignupPage      | Entering password: *****
2026-09-08 03:08:58 | INFO     | cocacola.SignupPage      | Entering zip code: 63117
2026-09-08 03:08:58 | INFO     | cocacola.SignupPage      | Clicking Create account button
2026-09-08 03:08:59 | INFO     | cocacola.Fixtures        | ==== TEST END   | test_signup_duplicate_email[webkit] | PASSED ====
